Barrigsen	52.35944444	9.49972222
Barthelmarkt	48.71222222	11.45166667
Barthelmesaurach	49.27472222	10.92861111
Bartholomäus Steinle	47.65223541	10.71954489
Baseball-Bundesliga 2011	49.480592	8.502556
Basilika St. Vitus (Ellwangen)	48.96194444	10.13208333
Basketball-Bundesliga 2008/09	52.68333333	7.95
Basse (Neustadt am Rübenberge)	52.55083333	9.50666667
Bassumer Utkiek	52.821905	8.702545
Bastau	52.28583333	8.92111111
Bastauwiesen	52.312484	8.760538
Batschkapp	50.15932778	8.655825
Bauernkriegspanorama	51.36611111	11.10333333
Baumsche Fabrik	51.25659548	7.15376039
Baumsche Villa	51.25190075	7.12945003
Bayernkolleg Schweinfurt	50.04638889	10.20463889
Bechstedtstraß	50.95805556	11.195
Bechstedt-Wagd	50.90694444	11.10388889
Becke (Halver)	51.20856111	7.46708611
Bedesbach	49.56583333	7.45722222
Beeck (Wegberg)	51.13277778	6.3075
Beerberggrotte	50.84375	10.44155556
Behördenzentrum Ilmenau	50.68805556	10.91513889
Beibuschbach	50.01221111	9.29544167
Beilstein (Spessart)	50.1702	9.4027
Beisen	51.19904167	7.46425278
Beisheim Center	52.510806	13.375181
Belingen	49.976728	6.941428
Belke-Steinbeck	52.1575	8.58
Bellings	50.30611667	9.50325
Belmicke	51.025	7.72666667
Beltersrot	49.17694444	9.67833333
Belvedere (Neubrandenburg)	53.547716	13.235597
Belvedere (Radebeul)	51.11506944	13.61877778
Belzhag	49.22027778	9.66777778
Bendahler Bach	51.25777778	7.16333333
Benediktushöhle	48.05527778	8.99
Bennungen	51.46166667	11.11722222
Benstorf	52.09333333	9.65027778
Berbeck	51.13155556	7.34291667
Berching	49.13435	11.41981
Berg-Goldschmidt-Haus	51.4852846	9.1460852
Berg (Schussental)	47.834895	9.565782
Berg (Stuttgart)	48.79361111	9.20777778
Berg (Wuppertal)	51.18625	7.14425
Bergbronn	49.111896	10.180045
Bergbuir	50.59696831	6.56750678
Bergen (Losheim am See)	49.53277778	6.695
Bergham (Otterfing)	47.90666667	11.66888889
